Asana,Benefits
Sarvangasana,"By pressing the chest against the chin, this asana stimulates the thyroid gland. It generally
balances the circulatory, respiratory, digestive, reproductive, nervous and endocrine systems. It
also tranquillizes the mind, relieves mental and emotional stress, and helps clear psychological
disturbances, boosting the immune system. Its influence on the parathyroid glands ensures normal
development and regeneration of the bones.
abdominal breathing is induced, improving the exchange of air in the body, relieving stress and
massaging the abdominal organs. Sarvangasana releases the normal gravitational pressure from
the anal muscles, relieving haemorrhoids. It tones the legs, abdomen and reproductive organs,
draining stagnant blood and fluid, and increasing circulation to these areas.
flexibility of the neck vertebrae is improved and the nerves passing through the neck to the brain
are toned. Circulation is increased in this area generally, revitalizing the ears, eyes and tonsils."
Padma sarvangasana,"As for sarvangasana, except that free drainage of blood from the legs is impeded;
therefore, it is not effective in the treatment of piles or varicose veins. However, this asana gives
an additional stretch and massage to the pelvic region and internal organs. It strengthens and
coordinates the leg muscles and improves the sense of balance."
Poorwa halasana,"It stretches the pelvis, regulates the kidneys, activates the intestines and removes excess
weight. It is a good preparatory pose before attempting halasana"
Halasana,"Massages all the internal organs, activates the digestion, relieving constipation and dyspepsia,
revitalizes the spleen and the suprarenal glands, promotes the production of insulin by the
pancreas and improves liver and kidney function. It strengthens the abdominal muscles, relieves
spasms in the back muscles, tones the spinal nerves and increases blood circulation to the whole
area. It regulates the activities of the thyroid gland, which balances the body’s metabolic rate. It
also improves the immune system."
Druta halasana," this practice has the benefits of both halasana and paschimottanasana. It strengthens the
back and abdominal muscles, activates intestinal peristalsis, improving digestion and removing
constipation. It facilitates the breakdown of fats by exercising the liver and gall bladder, and
stretches the pelvic region."
Ardha padma halasana," this practice has the benefits of both halasana and paschimottanasana. It strengthens the
back and abdominal muscles, activates intestinal peristalsis, improving digestion and removing
constipation. It facilitates the breakdown of fats by exercising the liver and gall bladder, and
stretches the pelvic region."
 stambhan asana ," this practice has the benefits of both halasana and paschimottanasana. It strengthens the
back and abdominal muscles, activates intestinal peristalsis, improving digestion and removing
constipation. It facilitates the breakdown of fats by exercising the liver and gall bladder, and
stretches the pelvic region."
 sirshasana," this asana is very powerful for awakening sahasrara chakra and therefore it is considered
the greatest of all asanas.
sirshasana revitalizes the entire body and mind. It relieves anxiety and other psychological
disturbances which form the root cause of many disorders such as asthma, hay fever, diabetes and
menopausal imbalance.
it also helps to rectify many forms of nervous and glandular disorders, especially those related to
the reproductive system.
this asana reverses the effect of gravity on the body. Strain on the back is thus alleviated and the
reversed flow of blood in the legs and visceral regions aids tissue regeneration. The weight of the
abdominal organs on the diaphragm encourages deep exhalation so that larger amounts of carbon
dioxide are removed from the lungs."
 salamba sirshasana," this asana is very powerful for awakening sahasrara chakra and therefore it is considered
the greatest of all asanas.
sirshasana revitalizes the entire body and mind. It relieves anxiety and other psychological
disturbances which form the root cause of many disorders such as asthma, hay fever, diabetes and
menopausal imbalance.
it also helps to rectify many forms of nervous and glandular disorders, especially those related to
the reproductive system.
this asana reverses the effect of gravity on the body. Strain on the back is thus alleviated and the
reversed flow of blood in the legs and visceral regions aids tissue regeneration. The weight of the
abdominal organs on the diaphragm encourages deep exhalation so that larger amounts of carbon
dioxide are removed from the lungs."
 niralamba sirshasana," this asana is very powerful for awakening sahasrara chakra and therefore it is considered
the greatest of all asanas.
sirshasana revitalizes the entire body and mind. It relieves anxiety and other psychological
disturbances which form the root cause of many disorders such as asthma, hay fever, diabetes and
menopausal imbalance.
it also helps to rectify many forms of nervous and glandular disorders, especially those related to
the reproductive system.
this asana reverses the effect of gravity on the body. Strain on the back is thus alleviated and the
reversed flow of blood in the legs and visceral regions aids tissue regeneration. The weight of the
abdominal organs on the diaphragm encourages deep exhalation so that larger amounts of carbon
dioxide are removed from the lungs."
Oordhwa padmasana," as for sirshasana, except that free drainage of blood from the legs is impeded. This asana
induces full expansion of the chest and back. It stretches and massages the pelvic region,
benefiting the internal organs. It strengthens and coordinates the leg muscles and improves the
sense of balance."
 kapali asana," this asana is very powerful for awakening sahasrara chakra and therefore it is considered
the greatest of all asanas.
sirshasana revitalizes the entire body and mind. It relieves anxiety and other psychological
disturbances which form the root cause of many disorders such as asthma, hay fever, diabetes and
menopausal imbalance.
it also helps to rectify many forms of nervous and glandular disorders, especially those related to
the reproductive system.
this asana reverses the effect of gravity on the body. Strain on the back is thus alleviated and the
reversed flow of blood in the legs and visceral regions aids tissue regeneration. The weight of the
abdominal organs on the diaphragm encourages deep exhalation so that larger amounts of carbon
dioxide are removed from the lungs."
 eka pada pranamasana," this asana develops nervous balance. It also strengthens the leg, ankle and foot muscles."
 natavarasana, natavarasana helps develop nervous balance and concentration.
 garudasana," garudasana improves concentration, strengthens the muscles and loosens the joints of the
shoulders, arms and legs, and is good for the upper back."
 tandavasana," this asana balances the nervous system, develops control of the body and mental
concentration, and makes the legs supple."
 saral natarajasana," this asana strengthens the back, shoulders, arms, hips and legs. It helps develop a sense
of balance and coordination and improves concentration"
 natarajasana," this asana strengthens the back, shoulders, arms, hips and legs. It helps develop a sense
of balance and coordination and improves concentration"
 eka padasana," this asana strengthens the arms, wrists, back, hips and leg muscles. It helps to develop
muscular coordination, nervous balance and concentration."
 bakasana," strengthens the back, hip and leg muscles, improves blood circulation and gives a
beneficial compression to the abdominal organs. It aids concentration, balance and nervous
coordination."
 utthita hasta padangusthasana," improves concentration and coordinates muscular and nervous balance. The hips and leg
muscles are strengthened and toned, and the hamstrings are stretched, helping the knee and
ankle joints."
 merudandasana," this asana tones the abdominal organs, especially the liver, and strengthens the abdominal
muscles. It helps to stimulate intestinal peristalsis, alleviating constipation. It tones the
sympathetic and parasympathetic nervous systems, strengthens the muscles of the back and helps
to realign the spine. It helps to remove tiredness from the legs, giving a feeling of lightness and
balance, and is good for the knees."
 niralamba paschimottanasana,"  this practice has similar benefits to paschimottanasana. In addition, it helps to improve
the sense of balance."
 ardha padma padottanasana," this asana helps improves the sense of balance and activates intestinal peristalsis,
alleviating constipation."
 ardha baddha padmottanasana," this asana stimulates digestion, removes constipation, improves blood circulation and
strengthens the legs."
 vatayanasana," this asana strengthens the leg muscles and knee joints. It develops the ability to retain
seminal fluid for the maintenance of brahmacharya."
 pada angushthasana," this asana helps to maintain brahmacharya and regulates the reproductive system. It
strengthens the toes and ankles. Concentration is improved."
 baka dhyanasana," this asana balances the nervous system. It strengthens the arms and wrists and develops
the sense of physical balance."
 eka pada baka dhyanasana," this asana balances the nervous system. It strengthens the arms and wrists and develops
the sense of physical balance."
Dwi hasta bhujasana," this asana develops the arm muscles and increases flexibility in the shoulder joints and
lower back. It massages and tones the abdomen and visceral organs, stimulating the pancreas."
Eka hasta bhujasana," this asana strengthens the arm muscles and increases flexibility in the shoulders, hips and
lower back. It strengthens the abdominal organs and tones the perineum as the muscles contract.
thus it helps with the preservation of sexual energy for spiritual purposes."
 hamsasana," hamsasana massages and stimulates the abdominal organs and muscles, and is beneficial
for a healthy digestive system"
 santolanasana," this asana improves nervous balance and develops a sense of inner equilibrium and
harmony. It strengthens the muscles of the thighs, arms, shoulders and spine."
 vashishthasana," this asana improves nervous balance. It also makes the leg muscles supple, strengthens
the arms and tones the lower back."
Poorna bhujangasana," this asana keeps the spine supple and healthy. It tones the ovaries and uterus, and is
beneficial for all the abdominal organs, especially the liver and kidneys.
on a pranic level, this asana has a strong effect on all the organs related to swadhisthana,
manipura, anahata and vishuddhi chakras."
 koormasana," koormasana tones all the organs of the abdomen and is helpful in managing diabetes,
flatulence and constipation. It increases circulation in the spine, soothing the nerves and relieving
head and neck ache. It induces introversion, mental relaxation, composure and a sense of inner
security and surrender. Passion, fear and anger subside, and the body and mind are refreshed
through this practice."
 poorna shalabhasana," poorna shalabhasana strengthens the back and pelvic organs. It tones and balances the
functioning of the liver, stomach, bowels and other abdominal organs, and stimulates the appetite.
it tightens the muscles of the buttocks and causes the body to do vajroli mudra spontaneously.
many of the benefits of inverted asanas also apply."
 poorna dhanurasana," the entire alimentary canal is reconditioned by this asana. The abdominal organs and
muscles are massaged. The liver, pancreas, kidneys and adrenal glands are toned, balancing their
secretions. This leads to improved functioning of the digestive, excretory and reproductive organs.
it improves blood circulation generally.
the spinal column is realigned and the ligaments, muscles and nerves are activated. It strengthens
the shoulder, arm and leg muscles, especially the thighs.
it is useful for freeing nervous energy in the cervical and thoracic area, generally improving
respiration."
 dhanurakarshanasana," this is an excellent asana for loosening the hip joints and making the legs supple. It
strengthens the arms and tones the abdominal organs. It helps to relieve tension in the back and
neck, and is helpful for people with hydrocele."
 prishthasana," this asana beneficially stretches the abdominal muscles and organs. It increases
circulation in the back, stimulating and toning the nerves of the spine. It strengthens the legs and
develops balance."
 parighasana," this posture gives a good lateral stretch to the pelvic region and trunk. It massages the
abdominal muscles and organs, helping to prevent accumulation of fat and sagging skin around
the abdomen."
 chakrasana," chakrasana strengthens the legs. It is beneficial to the nervous, digestive, respiratory,
cardiovascular and glandular systems. It influences all the hormonal secretions and helps relieve
various gynaecological disorders"
 hanumanasana," this pose improves flexibility and blood circulation in the legs and hips. It massages the
abdominal organs, tones the reproductive system and makes the pelvic area supple"
 brahmacharyasana," this asana strengthens the abdominal organs and muscles, as well as the thighs and arms.
the muscles of the perineum contract strongly while this asana is performed, automatically
inducing vajroli mudra, ashwini mudra, and moola bandha. Consequently, it is an important asana
for the conservation of sexual energy for spiritual purposes."
 grivasana," grivasana strengthens the neck, back and thighs, and improves the sense of balance"
 sirshapada bhumi sparshasana," this asana makes the back muscles strong and supple. It stimulates the spinal nerves and
blood circulation, strengthens the thigh, neck and abdominal muscles and is an excellent pose for
inducing relaxation."
 poorna matsyendrasana,"  this asana simultaneously stretches the muscles on one side of the back and abdomen
while contracting the muscles on the other side.
it tones the nerves of the spine, makes the back muscles supple, relieves lumbago and muscular
spasms, and reduces the tendency of adjoining vertebrae to develop inflammatory problems and
calcium deposits. It massages the abdominal organs, alleviating digestive ailments. It regulates the
secretions of the adrenal gland, liver and pancreas, and is beneficial for the kidneys."
 mayurasana," this asana stimulates the metabolic processes which increase secretions from different
glands. It stimulates the elimination of toxins from the blood, assisting the removal of skin
conditions such as boils. All the digestive organs are massaged and intestinal peristalsis is
stimulated. It is useful in managing flatulence, constipation, diabetes and sluggishness of the liver
and kidneys. It harmonizes the glands of the endocrine system, develops mental and physical
balance, strengthens the muscles of the whole body and develops muscular control. In particular,
the toxins accumulated in the body are burnt, bringing the three doshas or humours: vata, wind,
kapha, phlegm, and pitta, bile, into balance and harmony."
 padma mayurasana," this asana stimulates the metabolic processes which increase secretions from different
glands. It stimulates the elimination of toxins from the blood, assisting the removal of skin
conditions such as boils. All the digestive organs are massaged and intestinal peristalsis is
stimulated. It is useful in managing flatulence, constipation, diabetes and sluggishness of the liver
and kidneys. It harmonizes the glands of the endocrine system, develops mental and physical
balance, strengthens the muscles of the whole body and develops muscular control. In particular,
the toxins accumulated in the body are burnt, bringing the three doshas or humours: vata, wind,
kapha, phlegm, and pitta, bile, into balance and harmony."
 moolabandhasana," this asana automatically induces moola bandha and is primarily used for awakening
mooladhara chakra. It is an important asana for the conservation of sexual energy, and tones the
reproductive and eliminatory organs. It also makes the legs and feet exceptionally supple."
 gorakshasana," this asana reverses the flow of apana, directing it upward to the higher centres for use in
meditative states. It makes the legs and feet extremely supple."
 astavakrasana," this asana develops nervous control throughout the body and mind. It reverses the flow of
apana, directing the energy towards manipura chakra, helping to maintain brahmacharya,
‘celibacy’. It strengthens the wrists, the arm and leg muscles, and the muscles of the abdomen"
 vrischikasana," vrischikasana reorganizes prana in the body, arresting the physical ageing process. It
improves the blood flow to the brain and pituitary gland, revitalizing all the body’s systems. It
improves circulation in the lower limbs and abdomen, and tones the reproductive organs. The
arched position stretches and loosens the back, toning the nerves of the spine. It strengthens the
arms and develops the sense of balance"
 eka pada sirasana," this asana compresses each side of the abdomen, thoroughly massaging the internal
organs, stimulating peristalsis and removing constipation. It tones the reproductive organs and
improves blood circulation in the legs, relieving varicose veins. It increases the level of energy in
the chakras, thus vitalizing the body and mind."
 utthan eka pada sirasana," this asana compresses each side of the abdomen, thoroughly massaging the internal
organs, stimulating peristalsis and removing constipation. It tones the reproductive organs and
improves blood circulation in the legs, relieving varicose veins. It increases the level of energy in
the chakras, thus vitalizing the body and mind. Strengthen thigh and back muscles."
 dwi pada sirasana," this asana helps to control the nervous system. The solar plexus and the adrenal glands
are powerfully massaged, increasing vitality. It tones all the abdominal and pelvic organs,
improving the efficiency of the digestive, reproductive and eliminatory systems."
 dwi pada kandharasana," this asana helps to control the nervous system. The solar plexus and the adrenal glands
are powerfully massaged, increasing vitality. It tones all the abdominal and pelvic organs,
improving the efficiency of the digestive, reproductive and eliminatory systems."
 padma parvatasana," in addition to the benefits of padmasana, this asana develops the sense of balance"
Vishwamitrasana," this asana stretches and tones the muscles of the arms and legs, and the sciatic nerves. It
strengthens the internal organs, improves concentration and the sense of balance."
Sukhanasana,"Reduces stress, anxiety, improves focus,strengthen back muscles ,improves body posture, neck pain"
Shavasana,"Helps in increasing concentration,reduce depression. Coordinates nervous tension, helpful for pregnant women (contraindications applied),"
Naukasana,"Helps in reducing nervous tension, increases the flexibility of the lower body, the reproductive system is also stimulated,good for women with infertility issues, or menstrual related symptoms."
Dhanurasana,"Relieves neck pain,strengthens back muscles,helpful is stimulating reproductive organs,improve the function of the pancreas."
Bhujangasana,"Opens and stretches the chest cavity 
  stretches the anterior spinal ligaments and abdominal contents 
  aligns upper body posture, especially rounded shoulders 
  strengthens the upper body 
  enhances breath capacity 
  increases the flexibility of the entire spine"
Vakrasana,"Stretches the spine and the muscles around it,
practice of this pose tones the muscles of the back and thus brings stability to the spine,tones the internal organs like the digestive system, intestines, uterus and kidney"
Bakasana,  stretches the hamstring and spinal muscles   improves posture   develops the muscles of the hip region   massages and tones the abdominal contents   improves blood flow to the brain   enhances circulation   improves body balance and strength
Halasana,"Improves the function of the thyroid, parathyroid, pituitary glands, endocrine glands, abdominal organs including spleen, pancreas, liver and kidneys. The reproductive organs are stimulated.
"
Sarvangasana,  stretches the entire spine   improves circulation of blood in the lower extremity   massages abdominal organs   stimulates the glandular systems
Sirshasana,"1) increases blood flow to the brain
releasing toxins
2) reverses the effects of gravity on
the body
3) revitalizes the visceral organs
4) encourages deeper respiration
5) relaxes the body and mind
"
Gomukhasana,"1) gomukhasana helps to make the back flexible.
2) it can remove stiff shoulders and backpain.
3 it helps in the treatment of sciatica.
4) it stimulates the kidneys and can help those suffering from diabetes.
5) it helps to develop the chest.
6) it helps in sexual ailments."
Upavistha konasana,"1) it gives a good stretch to the groins and the inside muscles of the legs.
2) it loosens up the lower back and hips. Those with stiff back can benefit by practicing this pose daily.
3) it can give relief to sciatica.
4) it strengthens the spine.
5) upavistha konasana stretches the hamstring muscles.
5) core muscles in the lower abdomen are strengthened."
Utthan pristhasana,"1) utthan pristhasana is a good hip opener.
2) it strengthens the thigh muscles of the front leg.
3)it stretches the groins and the hip flexors.
4) opens the chest and neck."
Hasta utthanasana,"1)it improves digestion.
2)it stretches and tones the muscles of the abdomen.
3) it expands the chest and the rib cage resulting in full intake of oxygen. The lung capacity is fully utilised."
Paschimottanasana ,  stretches the hamstrings   increases the flexibility of the hip joints   massages the abdominal contents   elongates the spine from the sacrumto the base of the skull
Kapalabhati pranayama,"Kapalbhati cleans the cranial sinuses and can relieve cerebral thrombosis.
it purifies the nerves and the pranic channels, removes excess of kapha (one of the doshas in ayurveda) from the body, gives a clear mind and helps to control thoughts.
the word kapala means skull and bhati means to illumine. This practice adds luster to the face,removes all impurities of the body, oxygenate the blood, it helps to remove abdominal fat and is an excellent practice for obesity."
Padmasana,"  stabilizes the pelvis and hips   increases breath capacity   elongates the spine from the sacrum to the base of the skull   facilitates mental and physical balance,
this pose brings in fresh blood to the sacral nerves.
lotus pose (padmasana) helps to clear up many physical, nervous and emotional problems.
since the blood is made to circulate in the lumbar region and the abdomen, the spine and the abdominal organs are toned."
Taadasana,"Tadasana (mountain pose) strengthens the legs and the feet, tones the hips, glutes, and abdomen.
 it aligns the body and improves balance.
  develops strength in the
ankles and arches of the feet
  opens up the hips
  establishes balance and
coordination
  improves posture"
Ardha matsyendrasan,"1) ardha matsyendrasana is one of the best poses to improve the flexibility of the spine. It keeps your spine young.
2) it stretches the muscles along the spinal column and tones the spinal nerves. This can relieve some mild pains caused by stiff back.
3) it is good for mild cases of slipped disk.
4) this pose massages the organs in the abdominal region.
5) it improves digestion.
6) ardha matysendrasana  tones the kidneys and improves secretion of the adrenal glands.
7) it activates the pancreas and helps to manage diabetes."
Balasana ,"1)balasana stretches the shoulders and back and ankles subtly.
2)flexibility of the lower limbs, ankles and feet are enhanced with the alignment.
3)in this pose, the chest is constricted, yet the heart is relaxed.
4)awareness and focus (concentration)/alignment and posture.
5)energizing, de-stressing, relaxing
6)therapeutic, healing and ailments"
Phalakasana,"1)the most important advantages of this yoga pose is that it helps in remaining focused and improves concentration, without which this yoga pose is not possible.
2)the muscles around the shoulders, upper arms, forearms, and the wrists are toned and strengthened.
3)the muscles like the hamstrings, the quadriceps, calves too are put to work thus toning them and making them strong and flexible.
4)the core, abdominal muscles, are used to the maximum here and hence they get toned and give a great shape to the body.
5)as the abdominal muscles are used here the fat around the tummy is reduced giving more strength to the abdominal muscles.
6)maintaining balance requires concentration that in turn improves memory.
7)the chest is expanded to the maximum giving a great support to the chest muscles and toning them thus improving respiratory system.
8)the hips gets toned and both the lower back and the hips become strong and flexible.
9)as the entire body is stretched it improves the spine and gives a great looking posture to the body.
10)it helps in improving the general stamina of the body and therefore relieves stress and physical pain in the body.
11)therapeutically it heals ailments like insomnia, migraine, irritable symptoms due to menopause, osteoporosis, and general body weakness."
Trikonasana,"1)trikonasana gives flexibility of the back and spine.
2)it stimulates the digestive fire and removes constipation.
3)it massages the muscles and nerves in the pelvic region, relieving stiffness and mild pains.
4)it tones all organs in the abdomen maintain the health of those organs.
5)trikonasana is a good workout which can get the blocked energies moving and can relieve depression."
Setu bandha ,"1)bridge pose (setubandha sarvangasana) strengthens the quadriceps, hamstrings, glutes, and the pelvic muscles.
2)the diaphragm is elongated and the breath is steady. Staying a little longer in the bridge pose (setubandha sarvangasana) helps build required strength to follow bridge pose variation hands support( setubandha sarvangasana variation hands support) and bridge pose variation ankles ( setubandha sarvangasana variation ankles) to feel the chest more open.
3)increases awareness and focus (concentration)
4)the bridge created with the support of the shoulders and legs lifts the lower back and mid-back. The upper back supports this spinal movement. This fortifies the shoulders and corrects sagging shoulders.
5)in bridge pose, the chin nearly tucked to the neck stimulates the salivary glands, lymph nodes and thyroid glands. This helps in enhancing digestion, detoxifying the body and balancing the hormones in the body. 
6)this pose is very effective for core strengthening and hence can be practised by athletes, runners, postnatal women and teens. In addition, this pose also helps reduce belly fat, hence toning the belly."
Ustrasana,"1) camel pose stretches the anterior body (the chest, abdomen, and quadriceps, and the psoas muscles). It tones the glutes and the hamstrings. In this pose, the abdomen and the core are stretched to their sustainable best, and hence it is a good counter pose to boat pose (navasana) where the core is activated with toning and strengthening.
2) camel pose improves spinal mobility because, in our daily activities, we never challenge the spine to a backbend. We are likely to be sitting or slouching and bending our spine forward. We flex it in the opposite direction by doing a backbend, and this toning enhances body posture.
3) the element of camel pose is the chest opening. It stretches the chest muscles, enhances blood circulation in the body, and fosters a healthy heart. The chest cavity is enhanced, and this results in cardiovascular fitness. The expansion of the diaphragm is beneficial for respiration. 
4) camel pose(ustrasana) is effective in detoxifying the body. It enhances circulation to the digestive tract, thus improving digestion, appetite, and excretion of food. An effective digestive system energizes the body.
5) this yoga pose also stimulates the endocrine glands with abdominal stretching and alleviates diseases related to the ovaries, pineal glands, and testes. Etc. The uterus is toned, and the urogenital system of the body is benefited.
6) ustrasana works subtly but effectively to improve the digestive, respiratory, endocrine, lymphatic, skeletal, and circulatory systems. The chest opening enhances the respiratory system, and ailments related to it, like asthma and bronchitis, can be treated by this practice. "
Natrajasana ,"1)the raising of the leg beyond the hip, stretches the hamstrings, calves and the quadricep muscles, thus making them more flexible and strong.
2)the hips are toned here with the backbend of the lower back and the thighs.
3)beautiful asana to tone the arms and the shoulders removing the wrong posture of the shoulders and the extra fat at the upper arms .
4)the chest and the shoulders expand here, thus creating more space for the breath.
5)the entire spine is in action, thus toning the muscles around it including the neck and builds overall flexibility.
6)the most important benefit one gets from this pose is the balancing of the body, thus giving room for more focus towards mind and body. This further improves concentration and memory"
Surya namaskar,"1) surya namaskara comprehensively includes asana, pranayama, mantra and meditative awareness. Hence it is good to start the morning yoga practice with surya namaskara..
2)the sequence of asanas induces deep and rhythmic breathing.
3)it loosens up the joints in the body.
4)it tones the muscles and the internal organs.
5)surya namaskara activates the pingala nadi or the surya nadi which enhances the energy level in the body.
5)it removes lethargy and makes the mind alert.
6)it helps to strengthen the back muscles.
7)it balances the respiratory, circulatory, reproductive and the endocrine system.
surya namaskara, when done briskly, is good practice to burn extra fat in the body"
Bhairavasana,"1. Promotes spinal flexibility: practicing bhairavasana lengthens the spine which stretches the back muscles and makes them supple and flexible. The spine gets strong and prevents any chances of getting hurt or injured.
2. Strengthens the leg muscles: it involves flexing the knees, ankles, while activating the arches and toes. It stretches the leg muscles and supplies blood and nourishment to the cells. Thus, promotes legs strength and flexibility.
3. Stimulates hip-flexors: since, bhairavasana is an intense hip opener, it stretches the hip-flexors, and the internal rotation of the hips while performing the pose focuses on hip flexors. It improves the hip mobility and relieves all the accumulated stress.
4. Improves digestion: the abdominals are also stretched and massaged holding this posture. It tones the abdominal organs that aids in healthy digestion. Thus, it tones the abdominal muscles and keeps digestive disorders at bay.
5. Stretches oblique muscles: to get into this pose, the torso is bent sideways that brings a great stretch in oblique muscles. It increases the endurance of these muscles, keeps the body toned and in proper shape."
Hanumanasana,"1) stretches the leg muscles, strengthening and toning them. The lengthening of the leg muscles also helps to bring stability in the hips.
2) better circulation of blood in the hip girdle and the legs. There is fresh flow of blood towards the legs right after being released from the posture, and this helps in rejuvenating the muscles, tissues, ligaments and tendons.
3) in most seated poses the weight of the body is on the hips and the sit bones, but in hanumanasana (splits pose) it is on the pelvic girdle, engaging the pelvic floor muscles. Thus, it works on strengthening these muscles, improving blood supply, the coccygeal region (tailbone) is stretched which helps since it connects to perineum and the spine.
4) with the stretch in the groin area, groin muscles, psoas muscles, and abdominal muscles are strengthened helping in keeping the hips stable.
with the practice of splits pose, there is scope for bringing balance and stability to the hips and pelvic girdle. With the opposite movement of the hip flexors and the legs, students can learn to neutralize the rotation of the hips. With better hip stability, mastering advance poses that require deeper hip opening can be achieved.
5)awareness and alignment plays an important role with the practice of hanumanasana (splits pose). With the awareness, students should work on the alignment of the body to ensure achieving the best from the practice as well as avoid injury. Hence, for perfect alignment, using blocks where needed, should be encouraged."
Vajrasana,"1) heals body: the end of the spinal column (meru danda) is so beautifully placed on the heels giving the body a great looking posture and helps in transporting the prana smoothly to the entire body. This flow of prana is the first stage to heal the body from within.
2) increases flexibility in ankles: the ankles are bent so well giving room for greater flexibility right up to the tips of the toes.
3) improves blood circulation: the folding of the knees and the thighs stretches these muscles and improves blood circulation and improves flexibility.
4) strengthens pelvic muscles: in this pose as the spine is elevated and away from the floor, the flow of blood is altered along with the nervous impulses in the pelvic region and pelvic muscles are strengthened.
5) improves digestion: as this is one of the few yoga poses which can be practiced even after a meal, it is considered as a good way to help in digestion and increases the efficiency of the digestive system.
6) stabilizes mind and body: in this pose it is said that the mind and the body become stabilized, hence is recommended for pranayama and meditation which later improves concentration and memory.
7) increases blood circulation in abdomen: it increases the blood circulation in the abdominal area, with the special fold of the legs creating a bandha. This bandha controls the blood circulation from the waist downwards."
Siddhasana,"1) soothing and calm: when the spine is straight and follows the neutral shape, the energy flow from the base of the spine to the crown of the head moves encouraging the nervous system to be relaxed. A calm nervous system helps calm the mind, building better focus and awareness.
2) concentration and memory: the benefits of pranayama and meditation is enhanced when done in the right seated posture. Seated in swastikasana the level of concentration increases as the energy flow is smooth through the unblocked channels. This brings an increased level of focus, concentration, and memory.
3) chakra activation: when the flow of prana is smooth and easy through unblocked channels, the muladhara (root) chakra along with ajna (third eye) chakra is activated. This benefit though is derived when the practice is done for a longer duration."
Virabhadrasana,"Regular practice of the warrior pose i increases flexibility in the hips and strengthens and tones the legs, ankles, and feet.
the deep stretch to the lower body, like the gluteus maximus, the quadriceps, the hamstrings, and the adductors of the inner thighs, helps to maintain a great looking toned muscle. The stretch at the upper body keeps the muscles around the entire spine and the obliques (side abdominal muscles) also in good shape."
Parvatasana,"1) parvatasana strengthens the muscles of the arms and legs.
2) it tones the spinal nerves and sends good flow of blood to the spinal region.
3) it increases blood flow to the brain and gives mild benefits similar to inverted asanas."
Camatkarasana,"1.he twisting and backbend action in this pose helps to improve the flexibility of the hips, arms, shoulders and the core muscles. The balancing action puts weight on the muscles of the arms and shoulders making it a great practice for well-toned shoulders. This further helps in better range of motion of the spine while in a twist, preparing the upper body for other challenging poses of the same kind.
2.the active use of the chest, rib cage, shoulders, and upper abdomen together help to ensure deeper breathing. The balancing action requires the efficient use of the intercostal muscles (breathing muscles) to keep the body stable and relaxed while in a twist. With practice, the improved breathing will help in the efficient use of the diaphragm
3.the practice of wild thing pose with its backbend puts pressure on the abdominal area. This pressure (with the stretching of the muscles) helps improve digestion, reduces anxiety and improves the immune system. The pelvic opening stimulates the reproductive organs, bringing balance in the hormones with better functioning of the glands."
Vrikshasana,"1) stretches, strengthens, lengthens: vrikshasana stretches and strengthens the muscles of the legs, hips, back, core, arms, and shoulders. At the beginner level this hip opener helps to bring stability in the pelvic girdle, while preparing the body for poses like half lotus tree pose (ardha padma vrksasana), half chair pose (ardha utkatasana), and the likes.
2) flexibility and range of motion: this balancing pose which involves the joints of the hips, knee, ankles and shoulders are all engaged together helping in keeping the body stable. 
3) chest, diaphragm and breath: during the practice of tree pose, when the arms are stretched upwards, there is the active use of the chest, rib cage, diaphragm, intercostal muscles (breathing muscles). The active use of these helps in taking in more air into the lungs, thus also ensuring the efficient use of the lungs.
4) awareness and focus (concentration): according to yoga guru b.k.s. Iyengar, paying attention to your breath helps merge body and mind and create a state of physiologic equilibrium. Students maintain a straight look during the pose. This aids in mindfulness. 
5) alignment and posture: balancing in this pose without disturbing the prana flow requires having a clear understanding on the alignment aspects. The placing of the foot in the groin, the outward movement of the hips and knees, the grounding action of the five toes with all of them pointed in front, the placing of the hips and pelvis, the alignment of the shoulders with the hips and foot, and the raised hands with the shoulders and hips, together help in completing the pose to gain the maximum benefit. When all of these come together, the posture looks good and balancing becomes easier. "
Tri pada adho mukha svanasana,"1. Three legged downward facing dog pose is a deep hip opener, and with the raising of one leg it puts pressure on the extended hip as well as the balancing leg muscles. The muscles of the standing leg are stretched like the hamstrings, calves, hip flexors, gluteus, along with the active involvement of the joints of the hips, knees, and ankles.
2.the repeated practice of this action helps improve the range of motion of the hip flexors and psoas muscles thereby helping the hips to open up more than their range. The lengthening of the spine in a forward bend helps the hips to move forward creating more space for the lower back to open up. And this action helps to extend the leg higher from the lower back right up to the ankles.
3.one of the key elements in tri pada adho mukha svanasana is balance and stability while the palms are grounded pushing the torso down and extending one leg. This effort requires the awareness of body-breath ensuring they are in sync to go deeper into the posture. This kind of awareness helps in two ways, one, it avoids injury, two, it prepares the body for more challenging poses like one handed three legged downward facing dog pose, or standing split pose. 
4.the practice of this inversion pose helps increase blood flow to the heart with the extending of the leg. The reverse flow of blood and lymphatic fluid is forced back to the heart when the leg is extended. It is said that the functioning of the soleus muscles are considered to be the second heart of the human body, pumping venous blood back into the heart."
